Title.1;Title.2;Title.3;Title.4;Date;DiaSemana
Mascotas unidas;;;;sábado, 26 de septiembre de 2020;7
Amor garantizado;;;;miércoles, 23 de septiembre de 2020;4
Corazón loco;;;;domingo, 20 de septiembre de 2020;1
El robo del siglo; Miniserie; Todo el dinero del mundo;;domingo, 20 de septiembre de 2020;1
El dilema de las redes sociales;;;;sábado, 19 de septiembre de 2020;7
El robo del siglo; Miniserie; Billetes malditos;;domingo, 13 de septiembre de 2020;1
El robo del siglo; Miniserie; Escape de Valledupar;;domingo, 13 de septiembre de 2020;1
El robo del siglo; Miniserie; Manosucia;;domingo, 13 de septiembre de 2020;1
El robo del siglo; Miniserie; La titular;;sábado, 12 de septiembre de 2020;7
El robo del siglo; Miniserie; Un negocio bonito;;domingo, 30 de agosto de 2020;1
Los hermanos Santana;;;;viernes, 28 de agosto de 2020;6
The Umbrella Academy; Temporada 2; El fin de algo;;miércoles, 26 de agosto de 2020;4
Proyecto Power;;;;martes, 25 de agosto de 2020;3
The Umbrella Academy; Temporada 2; Orden 743;;domingo, 23 de agosto de 2020;1
The Umbrella Academy; Temporada 2; Las siete etapas;;domingo, 23 de agosto de 2020;1
¿No es romántico?;;;;domingo, 23 de agosto de 2020;1
The Umbrella Academy; Temporada 2; Ojo por ojo;;sábado, 22 de agosto de 2020;7
The Umbrella Academy; Temporada 2; Una cena tranquila;;sábado, 22 de agosto de 2020;7
The Umbrella Academy; Temporada 2; Reunión de emergencia;;lunes, 17 de agosto de 2020;2
The Umbrella Academy; Temporada 2; Los Doce majestuosos;;domingo, 16 de agosto de 2020;1
The Umbrella Academy; Temporada 2; Los suecos;;domingo, 16 de agosto de 2020;1
The Umbrella Academy; Temporada 2; El video de Frankel;;domingo, 16 de agosto de 2020;1
The Umbrella Academy; Temporada 2; Volver a empezar;;domingo, 16 de agosto de 2020;1
The Umbrella Academy; Temporada 1; El Violín Blanco;;domingo, 16 de agosto de 2020;1
The Umbrella Academy; Temporada 1; Cambios;;domingo, 16 de agosto de 2020;1
The Umbrella Academy; Temporada 1; Escuché el rumor;;martes, 11 de agosto de 2020;3
The Umbrella Academy; Temporada 1; El día que sí fue;;domingo, 9 de agosto de 2020;1
The Umbrella Academy; Temporada 1; El día que no fue;;domingo, 9 de agosto de 2020;1
The Umbrella Academy; Temporada 1; Número Cinco;;sábado, 8 de agosto de 2020;7
Nada es privado;;;;sábado, 8 de agosto de 2020;7
The Umbrella Academy; Temporada 1; Hombre en la luna;;lunes, 3 de agosto de 2020;2
The Umbrella Academy; Temporada 1; Extra Ordinaria;;domingo, 2 de agosto de 2020;1
The Umbrella Academy; Temporada 1; Run Boy Run;;domingo, 2 de agosto de 2020;1
The Umbrella Academy; Temporada 1; Solo nos vemos en los casamientos o velorios;;domingo, 2 de agosto de 2020;1
El stand de los besos;;;;domingo, 2 de agosto de 2020;1
El stand de los besos 2;;;;sábado, 1 de agosto de 2020;7
La peor noche de mi vida;;;;sábado, 1 de agosto de 2020;7
Encuentro fatal;;;;sábado, 1 de agosto de 2020;7
Oscuro deseo; Temporada 1; Esa instantánea muerte es bella...;;viernes, 31 de julio de 2020;6
Oscuro deseo; Temporada 1; Un perverso juego de espejos;;viernes, 31 de julio de 2020;6
Oscuro deseo; Temporada 1; El corazón delator;;miércoles, 29 de julio de 2020;4
Oscuro deseo; Temporada 1; Te metiste con la mujer equivocada;;domingo, 26 de julio de 2020;1
Oscuro deseo; Temporada 1; ¿Extrañando los viejos tiempos?;;domingo, 26 de julio de 2020;1
Oscuro deseo; Temporada 1; ¿Qué sabes acerca de Darío Guerra?;;domingo, 26 de julio de 2020;1
The Blacklist; Temporada 7; Los hermanos Kazanjian;;domingo, 26 de julio de 2020;1
MILF;;;;domingo, 26 de julio de 2020;1
The Blacklist; Temporada 7; Roy Cain (N.° 150);;sábado, 25 de julio de 2020;7
The Blacklist; Temporada 7; Hermanos;;sábado, 25 de julio de 2020;7
The Blacklist; Temporada 7; Nyle Hatcher (N.° 149);;viernes, 24 de julio de 2020;6
The Blacklist; Temporada 7; Gordon Kemp (N.° 158);;miércoles, 22 de julio de 2020;4
The Blacklist; Temporada 7; Twamie Ullulaq (N.° 126);;miércoles, 22 de julio de 2020;4
Brené Brown - La llamada de la valentía;;;;miércoles, 22 de julio de 2020;4
The Blacklist; Temporada 7; Newton Purcell (N.° 144);;martes, 21 de julio de 2020;3
The Blacklist; Temporada 7; Cornelius Ruck (N.° 155);;martes, 21 de julio de 2020;3
The Blacklist; Temporada 7; Victoria Fenberg (N.° 137);;martes, 21 de julio de 2020;3
The Blacklist; Temporada 7; Katarina Rostova (N.° 3);;domingo, 19 de julio de 2020;1
The Blacklist; Temporada 7; Orión Servicios de Mudanza (N.° 159);;domingo, 19 de julio de 2020;1
The Blacklist; Temporada 7; El hawaladar (N.° 162);;domingo, 19 de julio de 2020;1
The Blacklist; Temporada 7; Hannah Hayes (N.° 125);;domingo, 19 de julio de 2020;1
The Blacklist; Temporada 7; Doctor Lewis Powell (N.° 130);;domingo, 19 de julio de 2020;1
The Blacklist; Temporada 7; Norman Devane (N.° 138);;domingo, 19 de julio de 2020;1
The Blacklist; Temporada 7; Kuwait;;domingo, 19 de julio de 2020;1
The Blacklist; Temporada 7; Les Fleurs Du Mal (N.° 151);;sábado, 18 de julio de 2020;7
The Blacklist; Temporada 7; Louis T. Steinhil (N.° 27); Conclusión;sábado, 18 de julio de 2020;7
The Blacklist; Temporada 7; Louis T. Steinhil (N.° 27);;sábado, 18 de julio de 2020;7
Oscuro deseo; Temporada 1; Pero el amor, esa palabra;;viernes, 17 de julio de 2020;6
Oscuro deseo; Temporada 1; Eso que los normales llaman amor;;viernes, 17 de julio de 2020;6
Oscuro deseo; Temporada 1; Una última noche de pasión;;viernes, 17 de julio de 2020;6
Oscuro deseo; Temporada 1; Es solo sexo;;viernes, 17 de julio de 2020;6
Chop Shop;;;;jueves, 16 de julio de 2020;5
La noche más oscura;;;;martes, 14 de julio de 2020;3
Undercover - Operación éxtasis; Temporada 1; El espectáculo;;lunes, 13 de julio de 2020;2
Undercover - Operación éxtasis; Temporada 1; Tocando fondo;;domingo, 12 de julio de 2020;1
Undercover - Operación éxtasis; Temporada 1; Nouveau Monde;;domingo, 12 de julio de 2020;1
Undercover - Operación éxtasis; Temporada 1; Ese policía;;domingo, 12 de julio de 2020;1
Undercover - Operación éxtasis; Temporada 1; Sirenas;;domingo, 12 de julio de 2020;1
Undercover - Operación éxtasis; Temporada 1; A través de las fronteras;;domingo, 12 de julio de 2020;1
Undercover - Operación éxtasis; Temporada 1; Legio Patria Nostra;;domingo, 12 de julio de 2020;1
Undercover - Operación éxtasis; Temporada 1; Drogas sintéticas italianas;;domingo, 12 de julio de 2020;1
Undercover - Operación éxtasis; Temporada 1; Gente sensible;;domingo, 12 de julio de 2020;1
Undercover - Operación éxtasis; Temporada 1; Campamento Zonnedauw;;sábado, 11 de julio de 2020;7
La deuda;;;;sábado, 11 de julio de 2020;7
La vieja guardia;;;;viernes, 10 de julio de 2020;6
Shaft;;;;viernes, 10 de julio de 2020;6
Atrapa ese email;;;;jueves, 9 de julio de 2020;5
El juicio; Temporada 1; Episodio 1;;martes, 7 de julio de 2020;3
La lista de al carajo;;;;lunes, 6 de julio de 2020;2
El camino largo;;;;lunes, 6 de julio de 2020;2
Todo un parto;;;;domingo, 5 de julio de 2020;1
El juego de la fortuna;;;;sábado, 4 de julio de 2020;7
Enemigo inmortal;;;;sábado, 4 de julio de 2020;7
Asesino - Misión venganza;;;;sábado, 4 de julio de 2020;7
Actos de violencia;;;;jueves, 2 de julio de 2020;5
Baby - El aprendiz del crimen;;;;miércoles, 1 de julio de 2020;4
FYRE -  La fiesta más exclusiva que nunca sucedió;;;;martes, 30 de junio de 2020;3
Héroes;;;;viernes, 26 de junio de 2020;6
Billions; Temporada 5; Mierda sin límites;;viernes, 26 de junio de 2020;6
Billions; Temporada 5; El modelo nórdico;;viernes, 26 de junio de 2020;6
Billions; Temporada 5; Contrato;;viernes, 26 de junio de 2020;6
Billions; Temporada 5; Zona de oportunidad;;viernes, 26 de junio de 2020;6
Billions; Temporada 5; Sobornos, ruegos e intimidaciones;;viernes, 26 de junio de 2020;6
Billions; Temporada 5; La prueba de Chris Rock;;viernes, 26 de junio de 2020;6
Billions; Temporada 5; Los nuevos decas;;viernes, 26 de junio de 2020;6
Billions; Temporada 4; Arenero extremo;;viernes, 26 de junio de 2020;6
Billions; Temporada 4; Lamster;;viernes, 26 de junio de 2020;6
Billions; Temporada 4; Año Nuevo;;viernes, 26 de junio de 2020;6
Billions; Temporada 4; Campeón nacional;;viernes, 26 de junio de 2020;6
Billions; Temporada 4; Noche de boxeo;;viernes, 26 de junio de 2020;6
Billions; Temporada 4; Juego infinito;;viernes, 26 de junio de 2020;6
Billions; Temporada 4; Máxima profundidad recreativa;;viernes, 26 de junio de 2020;6
Billions; Temporada 4; Una despedida apropiada;;viernes, 26 de junio de 2020;6
Billions; Temporada 4; La ventana Overton;;viernes, 26 de junio de 2020;6
Billions; Temporada 4; Pollolandia;;viernes, 26 de junio de 2020;6
Billions; Temporada 4; Patrón de excitación;;viernes, 26 de junio de 2020;6
Billions; Temporada 4; El mejor juego de Chucky Rhoades;;viernes, 26 de junio de 2020;6
Billions; Temporada 3; La jugada Elmsley;;viernes, 26 de junio de 2020;6
Billions; Temporada 3; Compensación;;viernes, 26 de junio de 2020;6
Billions; Temporada 3; Pago;;viernes, 26 de junio de 2020;6
Billions; Temporada 3; Rompehielos;;viernes, 26 de junio de 2020;6
Billions; Temporada 3; Todos los Wilbury;;viernes, 26 de junio de 2020;6
Billions; Temporada 3; Usted no, Sr. Dake;;viernes, 26 de junio de 2020;6
Billions; Temporada 3; El tercer hortelano;;viernes, 26 de junio de 2020;6
Billions; Temporada 3; Falla en la Estrella de la Muerte;;viernes, 26 de junio de 2020;6
Billions; Temporada 3; Una larga vida;;viernes, 26 de junio de 2020;6
Billions; Temporada 3; Demasiado tarde;;viernes, 26 de junio de 2020;6
Billions; Temporada 3; Es otra María González;;viernes, 26 de junio de 2020;6
Billions; Temporada 3; El único que puede empatar es el corredor;;viernes, 26 de junio de 2020;6
Billions; Temporada 2; Bola en mano;;viernes, 26 de junio de 2020;6
Billions; Temporada 2; La hora de la rana de oro;;viernes, 26 de junio de 2020;6
Billions; Temporada 2; Con o sin ti;;viernes, 26 de junio de 2020;6
Billions; Temporada 2; Sic Transit Imperium;;viernes, 26 de junio de 2020;6
Billions; Temporada 2; Forjador de reyes;;viernes, 26 de junio de 2020;6
Billions; Temporada 2; Vuelta de la victoria;;viernes, 26 de junio de 2020;6
Billions; Temporada 2; Indian 4;;viernes, 26 de junio de 2020;6
Billions; Temporada 2; Divisa;;viernes, 26 de junio de 2020;6
Billions; Temporada 2; El juramento;;viernes, 26 de junio de 2020;6
Billions; Temporada 2; Jugada óptima;;viernes, 26 de junio de 2020;6
Billions; Temporada 2; Líderes rudos;;viernes, 26 de junio de 2020;6
Billions; Temporada 2; Administración de riesgos;;viernes, 26 de junio de 2020;6
Billions; Temporada 1; La conversación;;viernes, 26 de junio de 2020;6
Billions; Temporada 1; Pensamiento mágico;;viernes, 26 de junio de 2020;6
Billions; Temporada 1; Calidad de vida;;viernes, 26 de junio de 2020;6
Billions; Temporada 1; ¿Dónde demonios está Donnie?;;viernes, 26 de junio de 2020;6
Billions; Temporada 1; Tiros profesionales;;viernes, 26 de junio de 2020;6
Billions; Temporada 1; El golpe;;viernes, 26 de junio de 2020;6
Billions; Temporada 1; El trato;;viernes, 26 de junio de 2020;6
Billions; Temporada 1; La buena vida;;viernes, 26 de junio de 2020;6
Billions; Temporada 1; Corto restringido;;viernes, 26 de junio de 2020;6
Billions; Temporada 1; YumTime;;viernes, 26 de junio de 2020;6
Billions; Temporada 1; Derechos de denominación;;viernes, 26 de junio de 2020;6
Billions; Temporada 1; Piloto;;viernes, 26 de junio de 2020;6
Operación Ultra;;;;jueves, 25 de junio de 2020;5
Take Me;;;;miércoles, 24 de junio de 2020;4
La última carcajada;;;;martes, 23 de junio de 2020;3
Un negocio brillante;;;;martes, 23 de junio de 2020;3
Bala perdida;;;;martes, 23 de junio de 2020;3
La Red Avispa;;;;martes, 23 de junio de 2020;3
Marcella; Temporada 3; Episodio 8;;lunes, 22 de junio de 2020;2
Marcella; Temporada 3; Episodio 7;;lunes, 22 de junio de 2020;2
Marcella; Temporada 3; Episodio 6;;domingo, 21 de junio de 2020;1
Marcella; Temporada 3; Episodio 5;;domingo, 21 de junio de 2020;1
Marcella; Temporada 3; Episodio 4;;domingo, 21 de junio de 2020;1
Marcella; Temporada 3; Episodio 3;;domingo, 21 de junio de 2020;1
Marcella; Temporada 3; Episodio 2;;domingo, 21 de junio de 2020;1
Marcella; Temporada 3; Episodio 1;;domingo, 21 de junio de 2020;1
El silencio de la ciudad blanca;;;;viernes, 19 de junio de 2020;6
Handsome - Una película de misterio de Netflix;;;;miércoles, 17 de junio de 2020;4
Seguridad nacional;;;;miércoles, 17 de junio de 2020;4
Plan de fuga;;;;martes, 16 de junio de 2020;3
¿Cómo saber si es amor?;;;;martes, 16 de junio de 2020;3
Mac & Devin Go to High School;;;;martes, 16 de junio de 2020;3
Burn Out;;;;lunes, 15 de junio de 2020;2
Sully - Hazaña en el Hudson;;;;lunes, 15 de junio de 2020;2
Ligeramente embarazada;;;;lunes, 15 de junio de 2020;2
Papás con honores;;;;lunes, 15 de junio de 2020;2
365 días;;;;sábado, 13 de junio de 2020;7
30 minutos o menos;;;;sábado, 13 de junio de 2020;7
Los doble-vida;;;;sábado, 13 de junio de 2020;7
Juego de honor;;;;viernes, 12 de junio de 2020;6
Negocios fuera de control;;;;viernes, 12 de junio de 2020;6
Jack Reacher - Bajo la mira;;;;jueves, 11 de junio de 2020;5
Game Over, Man!;;;;domingo, 7 de junio de 2020;1
Los últimos días del crimen;;;;domingo, 7 de junio de 2020;1
Barry Seal - Solo en América;;;;viernes, 5 de junio de 2020;6
La verdad oculta;;;;jueves, 4 de junio de 2020;5
Special Correspondents;;;;jueves, 4 de junio de 2020;5
Enemigos públicos;;;;miércoles, 3 de junio de 2020;4
Horizonte profundo;;;;miércoles, 3 de junio de 2020;4
Pelea de maestros;;;;martes, 2 de junio de 2020;3
Mente indomable;;;;domingo, 31 de mayo de 2020;1
Manos de piedra;;;;domingo, 31 de mayo de 2020;1
Mío o de nadie;;;;domingo, 31 de mayo de 2020;1
Enemigo invisible;;;;sábado, 30 de mayo de 2020;7
CHIPS -  Patrulla motorizada recargada;;;;sábado, 30 de mayo de 2020;7
Fiebre del ladrillo;;;;sábado, 30 de mayo de 2020;7
La corazonada;;;;viernes, 29 de mayo de 2020;6
Te quiero, imbécil;;;;jueves, 28 de mayo de 2020;5
Miami Vice;;;;miércoles, 27 de mayo de 2020;4
Amor. Boda. Azar.;;;;martes, 26 de mayo de 2020;3
Los caballeros;;;;domingo, 24 de mayo de 2020;1
La otra Missy;;;;viernes, 22 de mayo de 2020;6
Un golpe con estilo;;;;jueves, 21 de mayo de 2020;5
Especial 20 años Fútbol de Primera; Especial 20 años de Fútbol de Primera; Episodio 1;;jueves, 21 de mayo de 2020;5
El último baile; Temporada 1; Episodio X;;martes, 19 de mayo de 2020;3
El último baile; Temporada 1; Episodio IX;;martes, 19 de mayo de 2020;3
Deseo de matar;;;;domingo, 17 de mayo de 2020;1
El último baile; Temporada 1; Episodio VIII;;viernes, 15 de mayo de 2020;6
El último baile; Temporada 1; Episodio VII;;miércoles, 13 de mayo de 2020;4
Guerra de papás 2;;;;sábado, 9 de mayo de 2020;7
Code 8 - Renegados;;;;sábado, 9 de mayo de 2020;7
Vivir sin permiso; Temporada 2; Rey solitario;;jueves, 7 de mayo de 2020;5
El último baile; Temporada 1; Episodio VI;;miércoles, 6 de mayo de 2020;4
